325810;107359;0107359035322277;2877;
325812;107359;0107359035322338;2877;
325827;119180;0119180022204147;2877;
325828;1184027;1184027043772822;2877;
325842;2544997;2544997045248623;Ruecklaeufer;
325844;1321850;1321850;2880;
325847;2121200;2121200006752644;2880;
325854;1361161;1361161;2880;
325855;1686237;1686237005191391;2880;
325866;3181799;3181799008230612;2880;
325875;113381;0113381001758828;2883;
325877;3154663;3154663002579014;2883;
325884;664524;0664524;2883;
325889;1645092;1645092180362775;2883;
325891;2605301;2605301170235616;2888;
325926;2953065;2953065170563660;Ruecklaeufer;
325933;1657709;1657709045857905;Ruecklaeufer;
325972;2744761;2744761020530632;Ruecklaeufer;
325974;2744761;2744761020535040;Ruecklaeufer;
325989;2993368;2993368;Ruecklaeufer;
326000;1334598;1334598012259383;Ruecklaeufer;
326001;491183;0491183017068015;Ruecklaeufer;
326002;491183;0491183017035024;Ruecklaeufer;
326003;491183;0491183017068145;Ruecklaeufer;
326018;2049831;2049831006052839;Ruecklaeufer;
326020;2049831;2049831006059258;Ruecklaeufer;
326021;2049831;2049831006053164;Ruecklaeufer;
326024;2455400;2455400016591514;Ruecklaeufer;
326025;2455400;2455400016591361;Ruecklaeufer;
326026;2455400;2455400016591521;Ruecklaeufer;
326036;390344;0390344;Ruecklaeufer;
326037;390344;0390344;Ruecklaeufer;
326038;390344;0390344;Ruecklaeufer;
326059;263731;0263731002964898;2893;
326061;2542462;2542462018852531;2893;
326072;55996;0055996010881664;Ruecklaeufer;
326090;102566;0102566;2896;
326092;47662;0047662;2896;
326101;15032;0015032019165656;2899;
326114;18671;0018671;2899;
326124;2283075;2283075;Ruecklaeufer;
326125;2953065;2953065170550028;Ruecklaeufer;
326130;3044922;3660398501021;Ruecklaeufer;
326132;2612414;2612414003969142;Ruecklaeufer;
326137;1281286;1281286114986786;2900;
326138;1281286;1281286114986885;2900;
326140;1281286;1281286114986830;2900;
326150;2076149;2076149011552430;2900;
326153;129890;0129890067012894;2900;
326155;129890;0129890067012870;2900;
326159;290577;0290577;2900;
326169;2367449;2367449010039314;Ruecklaeufer;
326221;251264;0251264;Ruecklaeufer;
326228;1123694;1123694107525244;Ruecklaeufer;
326233;2213536;2213536300425022;2914;
326235;2408771;2408771004835685;2914;
326242;1028190;1028190;Ruecklaeufer;
326243;1028190;1028190;Ruecklaeufer;
326252;1463702;1463702047510765;2919;
326266;3132727;3132727;Ruecklaeufer;
326271;249623;0249623546961603;2923;
326273;482778;0482778;2923;
326279;2371540;2371540011880707;Ruecklaeufer;
326300;2396083;2396083;2926;
326304;14399;0014399015089333;2926;
326309;1632272;1632272001007368;2926;
326316;1555606;1555606;Ruecklaeufer;
326318;1545391;1545391;Ruecklaeufer;
326319;2389039;2389039;2929;
326331;1350453;1350453009598495;2929;
326332;98178;0098178;2929;
326341;1143411;1143411007176338;2934;
326359;2573202;2573202020991077;2934;
326363;287532;0287532509366150;2934;
326367;888990;0888990;2937;
326374;1559657;1559657009214587;2937;
