325810;107359;0107359035322277;2877;
325811;2557213;2557213056447133;2877;
325812;107359;0107359035322338;2877;
325813;135913;0135913111039072;2877;
325814;2116473;2116473007174298;2877;
325815;135913;0135913111039096;2877;
325816;135913;0135913111039089;2877;
325817;2747913;2747913016068774;2877;
325818;1739424;1739424;2877;
325819;2883122;2883122011409586;2877;
325820;31468;0031468;2877;
325821;453480;0453480;2877;
325822;2692010;2692010029768767;2877;
325823;1607613;1607613;2877;
325824;122176;0122176;2877;
325825;2621936;2621936;2877;
325826;2829018;2829018;2877;
325827;119180;0119180022204147;2877;
325828;1184027;1184027043772822;2877;
325829;847806;0847806016784797;2877;
325830;2549277;2549277004679688;Ruecklaeufer;
325831;3391265;3391265;Ruecklaeufer;
325833;2430387;2430387013449820;Ruecklaeufer;
325834;1563295;1563295;Ruecklaeufer;
325835;95091;0095091;Ruecklaeufer;
325836;1590868;1590868;Ruecklaeufer;
325837;1609155;1609155;Ruecklaeufer;
325838;1609155;1609155;Ruecklaeufer;
325840;34009;0034009008806864;Ruecklaeufer;
325841;3019197;3019197;Ruecklaeufer;
325842;2544997;2544997045248623;Ruecklaeufer;
325843;3337359;3337359002900910;2880;
325844;1321850;1321850;2880;
325845;2950848;2950848003849406;2880;
325847;2121200;2121200006752644;2880;
325848;321612;0321612106838304;2880;
325849;3181732;3181732014194707;2880;
325850;108977;0108977017486398;2880;
325851;129114;129114;2880;
325852;129114;129114;2880;
325854;1361161;1361161;2880;
325855;1686237;1686237005191391;2880;
325858;1649458;1649458002929223;2880;
325859;321612;0321612106838403;2880;
325860;3181732;3181732014194691;2880;
325861;275446;0275446105257932;2880;
325862;132472;0132472;2880;
325863;321612;0321612106851686;2880;
325864;321612;0321612106838359;2880;
325865;3181799;3181799008230445;2880;
325866;3181799;3181799008230612;2880;
325868;132472;0132472;2880;
325869;2542462;2542462018852104;Ruecklaeufer;
325870;2455301;2455301064507741;Ruecklaeufer;
325871;1729169;1729169052929273;Ruecklaeufer;
325872;91173;0091173006273562;2883;
325874;1482223;1482223;2883;
325875;113381;0113381001758828;2883;
325876;2557163;2557163021076045;2883;
325877;3154663;3154663002579014;2883;
325878;2557163;2557163021076311;2883;
325879;1391077;1391077071001768;2883;
325880;2557163;2557163021076304;2883;
325881;2557205;2557205009256213;2883;
325882;78105;0078105011502534;2883;
325883;55996;0055996010881664;2883;
325884;664524;0664524;2883;
325885;664524;0664524;2883;
325886;1432855;1432855033909705;2883;
325887;1482223;1482223;2883;
325888;3370244;3370244003692542;2883;
325889;1645092;1645092180362775;2883;
325890;78105;0078105011502626;2883;
